,Input Channel,Input Height/Width,Filter Height/Width,Stride,Input Batch = 1 - cuDNN (us),Input Batch = 8 - cuDNN (us),Input Batch = 16 - cuDNN (us),Input Batch = 32 - cuDNN (us),Input Batch = 64 - cuDNN (us),Input Batch = 128 - cuDNN (us)
0,32,112,3,1,37.760,95.403,164.416,260.715,428.651,759.317
1,144,56,3,1,34.016,86.176,134.091,230.325,387.147,753.845
2,192,28,3,1,24.629,44.747,64.245,105.013,180.491,316.501
3,240,28,5,1,33.077,90.272,157.045,287.616,624.320,1207.381
4,384,14,3,1,23.211,33.835,44.768,67.211,108.288,192.789
5,480,14,3,1,35.605,42.037,58.059,89.163,153.504,280.000
6,480,14,5,1,37.781,73.824,105.493,182.091,342.272,632.085
7,576,14,3,1,26.037,41.856,59.563,95.104,161.877,296.757
8,672,14,5,1,28.245,71.883,129.504,222.816,384.139,724.171
9,960,7,3,1,23.467,30.208,37.749,56.341,76.491,129.195
10,1152,7,3,1,24.192,31.957,39.936,55.467,87.029,149.205
11,1152,7,5,1,25.419,42.080,60.928,98.933,171.637,320.693
12,96,112,3,2,32.000,96.800,163.541,295.712,545.397,1034.635
13,144,56,3,2,24.043,50.187,78.091,130.805,233.589,433.824
14,144,56,5,2,29.781,78.837,129.579,235.189,445.227,859.541
15,192,28,3,2,21.259,33.899,41.173,58.933,94.229,161.995
16,240,28,3,2,22.635,35.680,46.837,72.896,116.000,202.411
17,576,14,3,2,21.685,30.923,39.147,52.352,82.379,137.301
18,672,14,5,2,26.027,43.424,61.152,99.648,161.525,291.840
