,Input Channel,Input Height/Width,Filter Height/Width,Stride,Input Batch = 1 Forward - V100S PyTorch (us),Input Batch = 1 Backward - V100S PyTorch (us),Input Batch = 8 Forward - V100S PyTorch (us),Input Batch = 8 Backward - V100S PyTorch (us),Input Batch = 16 Forward - V100S PyTorch (us),Input Batch = 16 Backward - V100S PyTorch (us),Input Batch = 32 Forward - V100S PyTorch (us),Input Batch = 32 Backward - V100S PyTorch (us),Input Batch = 64 Forward - V100S PyTorch (us),Input Batch = 64 Backward - V100S PyTorch (us),Input Batch = 128 Forward - V100S PyTorch (us),Input Batch = 128 Backward - V100S PyTorch (us)
0,32,112,3,1,104.822,2119.648,133.024,384.970,186.867,541.082,325.856,1036.045,591.030,2043.462,1127.776,4253.619
1,144,56,3,1,58.499,303.030,131.885,374.656,184.243,574.096,326.998,1011.654,609.184,2067.843,1291.114,4752.634
2,192,28,3,1,84.182,317.405,92.822,297.408,108.928,367.840,140.877,477.715,235.421,705.667,420.771,1250.832
3,240,28,5,1,68.854,226.534,144.986,455.706,245.283,614.502,444.480,950.426,843.645,1923.923,1666.515,3721.738
4,384,14,3,1,68.042,225.926,88.986,343.434,68.179,460.022,91.565,505.651,139.306,655.133,233.318,964.301
5,480,14,3,1,73.750,264.317,70.486,404.864,73.462,532.038,105.206,625.104,161.891,806.406,281.350,1225.187
6,480,14,5,1,76.646,255.594,106.582,471.392,138.790,652.448,239.251,828.963,398.752,1163.494,755.965,1943.978
7,576,14,3,1,80.941,283.306,61.123,517.462,79.190,642.874,121.165,753.795,187.171,973.619,332.595,1523.731
8,672,14,5,1,74.272,341.184,109.862,767.126,179.552,913.450,302.080,1135.862,554.611,1617.901,1072.384,3004.458
9,960,7,3,1,84.410,321.670,83.776,274.352,76.307,329.645,92.704,381.645,122.342,499.562,173.747,859.011
10,1152,7,3,1,55.309,269.789,66.870,320.995,79.258,314.640,89.779,401.203,127.603,549.763,196.557,1027.318
11,1152,7,5,1,66.720,310.512,98.611,466.954,116.442,521.658,170.432,706.678,295.882,1198.883,538.794,2081.558
12,96,112,3,2,89.258,294.346,132.179,348.083,182.858,517.366,314.058,921.498,583.462,1820.995,1118.774,4079.709
13,144,56,3,2,71.245,216.458,77.952,322.758,111.299,308.160,150.301,428.797,243.930,683.482,440.829,1232.019
14,144,56,5,2,69.098,278.944,126.483,383.258,182.326,436.000,305.222,717.414,563.491,1167.366,1078.474,2057.296
15,192,28,3,2,75.021,314.435,58.678,261.571,86.733,337.341,101.616,317.395,133.181,407.190,186.163,600.867
16,240,28,3,2,66.640,250.454,67.654,204.349,87.504,313.328,98.045,372.150,135.648,476.134,219.904,729.930
17,576,14,3,2,65.219,276.630,83.178,294.352,75.962,295.827,87.098,360.787,112.134,398.835,155.674,537.366
18,672,14,5,2,65.450,284.621,81.270,342.845,101.517,414.582,149.296,547.222,228.326,778.499,404.147,1354.256
