,Input Channel,Input Height/Width,Filter Height/Width,Stride,Input Batch = 1 - V100S PyTorch (us),Input Batch = 8 - V100S PyTorch (us),Input Batch = 16 - V100S PyTorch (us),Input Batch = 32 - V100S PyTorch (us),Input Batch = 64 - V100S PyTorch (us),Input Batch = 128 - V100S PyTorch (us)
0,32,112,3,1,42.435,95.632,162.902,298.070,567.610,1102.867
1,144,56,3,1,38.355,102.691,179.178,332.941,632.742,1236.310
2,192,28,3,1,39.133,51.469,77.558,128.397,236.483,436.685
3,240,28,5,1,46.646,132.122,235.002,443.395,859.843,1691.302
4,384,14,3,1,37.437,39.216,50.448,78.589,130.496,230.627
5,480,14,3,1,38.310,42.787,59.168,90.282,153.629,281.555
6,480,14,5,1,39.190,77.334,134.240,235.811,443.635,858.608
7,576,14,3,1,37.856,44.874,66.672,105.258,178.758,333.056
8,672,14,5,1,38.659,98.784,173.286,321.043,611.824,1191.040
9,960,7,3,1,40.022,35.885,43.994,57.008,89.888,155.568
10,1152,7,3,1,36.282,35.958,44.938,63.526,103.088,181.027
11,1152,7,5,1,38.442,56.102,92.368,151.910,276.998,521.082
12,96,112,3,2,36.698,99.894,164.346,296.122,562.518,1090.096
13,144,56,3,2,37.053,51.891,78.026,130.960,230.477,432.819
14,144,56,5,2,40.426,99.373,168.998,309.923,586.954,1143.533
15,192,28,3,2,38.291,35.610,44.960,61.869,99.232,167.075
16,240,28,3,2,40.710,39.334,49.149,70.931,115.530,203.558
17,576,14,3,2,38.605,35.098,40.362,55.322,81.136,137.709
18,672,14,5,2,37.792,47.334,74.515,118.886,210.253,385.286
